scenario,variant,profile,seed,mode,offered,accepted,refused,acked,failed,ack_p99_ns,ack_max_ns,produce_requests,wire_bytes,partition_pending_gap_ns,first_observation_wait_max_ns,broker_attempts_max,last_terminal_ns
hard.close-during-outage,deadline2s,common,1,raw,21850,21850,0,21818,32,18000000,32000000,8016,13459167,4001000000,27330001,1,14000000000
hard.close-during-outage,deadline2s,common,1,estimated-wire,21084,21084,0,21052,32,20000000,37000000,8013,13022797,4001000000,32226012,1,14000000000
hard.close-during-outage,deadline2s,common,7,raw,21850,21850,0,21818,32,18000000,32000000,8016,13459167,4001000000,27330001,1,14000000000
hard.close-during-outage,deadline2s,common,7,estimated-wire,21084,21084,0,21052,32,20000000,37000000,8013,13022797,4001000000,32226012,1,14000000000
hard.close-during-outage,deadline2s,original,1,raw,23391,23391,0,23359,32,21000000,33000000,14798,14814960,4001000000,28239000,1,14000000000
hard.close-during-outage,deadline2s,original,1,estimated-wire,22069,22069,0,22037,32,28000000,35000000,14552,14045363,4001000000,30088000,1,14000000000
hard.close-during-outage,deadline2s,original,7,raw,23391,23391,0,23359,32,21000000,33000000,14798,14814960,4001000000,28239000,1,14000000000
hard.close-during-outage,deadline2s,original,7,estimated-wire,22069,22069,0,22037,32,28000000,35000000,14552,14045363,4001000000,30088000,1,14000000000
hard.flapping-broker,duty50-slow1,common,1,raw,62000,62000,0,62000,0,546500000,691500000,23678,37497771,691500000,690141558,2,31006000000
hard.flapping-broker,duty50-slow1,common,1,estimated-wire,62000,62000,0,62000,0,542000000,656000000,23247,37435626,655500000,651965741,2,31006000000
hard.flapping-broker,duty50-slow1,common,7,raw,62000,62000,0,62000,0,563000000,695000000,23600,37489466,694500000,693733072,2,31006000000
hard.flapping-broker,duty50-slow1,common,7,estimated-wire,62000,62000,0,62000,0,527500000,686500000,23314,37443102,686000000,683743739,2,31006000000
hard.flapping-broker,duty50-slow1,original,1,raw,62000,62000,0,62000,0,538000000,697500000,23975,37514590,697500000,695941187,2,31006000000
hard.flapping-broker,duty50-slow1,original,1,estimated-wire,62000,62000,0,62000,0,528000000,690000000,23325,37445043,689500000,682844975,2,31006000000
hard.flapping-broker,duty50-slow1,original,7,raw,62000,62000,0,62000,0,515500000,672500000,24055,37524012,672000000,671148726,2,31006000000
hard.flapping-broker,duty50-slow1,original,7,estimated-wire,62000,62000,0,62000,0,523000000,638500000,23325,37445137,638000000,631549339,2,31006000000
soft.slow-broker-window,lanes1-i5,common,1,raw,34325,34325,0,34325,0,27000000,7033000000,9485,20646447,2174000000,6886019876,4,22013000000
soft.slow-broker-window,lanes1-i5,common,1,estimated-wire,34611,34611,0,34611,0,28000000,4326000000,9482,20912322,1828000000,3961441086,2,22005000000
soft.slow-broker-window,lanes1-i5,common,7,raw,34539,34539,0,34539,0,27000000,5970000000,9522,20774213,1888000000,5638317495,3,22011000000
soft.slow-broker-window,lanes1-i5,common,7,estimated-wire,35011,35011,0,35011,0,27000000,4714000000,9443,21186508,2603000000,4234827929,3,22008000000
soft.slow-broker-window,lanes1-i5,original,1,raw,33536,33536,0,33536,0,27000000,6526000000,9399,20188258,1312000000,6157037852,3,22016000000
soft.slow-broker-window,lanes1-i5,original,1,estimated-wire,34264,34264,0,34264,0,28000000,6616000000,9364,20608486,1591000000,6469374217,3,22017000000
soft.slow-broker-window,lanes1-i5,original,7,raw,33937,33937,0,33937,0,27000000,6707000000,9443,20426454,1299000000,6357082458,3,22009000000
soft.slow-broker-window,lanes1-i5,original,7,estimated-wire,34500,34500,0,34500,0,28000000,7388000000,9347,20758382,1590000000,6994246202,4,22017000000
soft.sustained-random-loss,loss5-slow0,common,1,raw,44144,44144,0,44144,0,63000000,249000000,10372,27304532,222000000,240819315,4,17012000000
soft.sustained-random-loss,loss5-slow0,common,1,estimated-wire,45030,45030,0,45030,0,60000000,262000000,10421,27674433,188000000,242810524,4,17014000000
soft.sustained-random-loss,loss5-slow0,common,7,raw,45230,45230,0,45230,0,59000000,167000000,10546,27800595,158000000,156942786,4,17018000000
soft.sustained-random-loss,loss5-slow0,common,7,estimated-wire,45462,45462,0,45462,0,56000000,143000000,10557,27911238,132000000,136637154,4,17017000000
soft.sustained-random-loss,loss5-slow0,original,1,raw,43028,43028,0,43028,0,120000000,685000000,13867,26457280,604000000,652742664,5,17009000000
soft.sustained-random-loss,loss5-slow0,original,1,estimated-wire,41494,41494,0,41494,0,218000000,572000000,14377,25627858,355000000,544917321,4,17007000000
soft.sustained-random-loss,loss5-slow0,original,7,raw,43393,43393,0,43393,0,88000000,661000000,14675,26784526,347000000,617102566,4,17007000000
soft.sustained-random-loss,loss5-slow0,original,7,estimated-wire,43676,43676,0,43676,0,87000000,874000000,14446,26844857,813000000,842442955,5,17007000000
