scenario,variant,profile,seed,mode,offered,accepted,refused,acked,failed,ack_p99_ns,ack_max_ns,produce_requests,wire_bytes,partition_pending_gap_ns,first_observation_wait_max_ns,broker_attempts_max,last_terminal_ns
baseline.asymmetric-wan-broker,i1-window1024k,common,0,raw,4096,4096,0,4096,0,205000000,205000000,1474,2514759,87000000,183806000,1,6155000000
baseline.asymmetric-wan-broker,i1-window1024k,common,0,estimated-wire,4096,4096,0,4096,0,82000000,87000000,884,2431994,87000000,65218001,1,3080000000
baseline.asymmetric-wan-broker,i1-window1024k,original,0,raw,4096,4096,0,4096,0,205000000,205000000,2030,2532002,87000000,183746000,1,5499000000
baseline.asymmetric-wan-broker,i1-window1024k,original,0,estimated-wire,4096,4096,0,4096,0,82000000,87000000,1419,2458861,87000000,65219000,1,3080000000
baseline.asymmetric-wan-broker,i1-window64k,common,0,raw,4096,4096,0,4096,0,205000000,205000000,1474,2514759,87000000,183806000,1,6155000000
baseline.asymmetric-wan-broker,i1-window64k,common,0,estimated-wire,4096,4096,0,4096,0,82000000,87000000,884,2431994,87000000,65218001,1,3080000000
baseline.asymmetric-wan-broker,i1-window64k,original,0,raw,4096,4096,0,4096,0,205000000,205000000,2030,2532002,87000000,183746000,1,5499000000
baseline.asymmetric-wan-broker,i1-window64k,original,0,estimated-wire,4096,4096,0,4096,0,82000000,87000000,1419,2458861,87000000,65219000,1,3080000000
baseline.asymmetric-wan-broker,i5-window1024k,common,0,raw,4096,4096,0,4096,0,54000000,87000000,978,2449217,87000000,65218000,1,2303000000
baseline.asymmetric-wan-broker,i5-window1024k,common,0,estimated-wire,4096,4096,0,4096,0,57000000,87000000,986,2448948,87000000,65218001,1,2306000000
baseline.asymmetric-wan-broker,i5-window1024k,original,0,raw,4096,4096,0,4096,0,54000000,87000000,1662,2487138,87000000,65218000,1,2309000000
baseline.asymmetric-wan-broker,i5-window1024k,original,0,estimated-wire,4096,4096,0,4096,0,54000000,87000000,1649,2485615,87000000,65219000,1,2299000000
baseline.asymmetric-wan-broker,i5-window64k,common,0,raw,4096,4096,0,4096,0,54000000,87000000,978,2449217,87000000,65218000,1,2303000000
baseline.asymmetric-wan-broker,i5-window64k,common,0,estimated-wire,4096,4096,0,4096,0,57000000,87000000,986,2448948,87000000,65218001,1,2306000000
baseline.asymmetric-wan-broker,i5-window64k,original,0,raw,4096,4096,0,4096,0,54000000,87000000,1662,2487138,87000000,65218000,1,2309000000
baseline.asymmetric-wan-broker,i5-window64k,original,0,estimated-wire,4096,4096,0,4096,0,54000000,87000000,1649,2485615,87000000,65219000,1,2299000000
baseline.bursty-onoff,burst200,common,0,raw,2000,2000,0,2000,0,10000000,11000000,206,1154265,8000000,8833000,1,18009000000
baseline.bursty-onoff,burst200,common,0,estimated-wire,2000,2000,0,2000,0,9000000,9000000,194,1152438,9000000,6821001,1,18010000000
baseline.bursty-onoff,burst200,original,0,raw,2000,2000,0,2000,0,10000000,11000000,260,1157082,8000000,8833000,1,18009000000
baseline.bursty-onoff,burst200,original,0,estimated-wire,2000,2000,0,2000,0,8000000,8000000,240,1154855,8000000,5820000,1,18009000000
baseline.bursty-onoff,burst50,common,0,raw,500,500,0,500,0,9000000,9000000,78,297055,9000000,6821000,1,18008000000
baseline.bursty-onoff,burst50,common,0,estimated-wire,500,500,0,500,0,9000000,9000000,77,296869,9000000,6821001,1,18008000000
baseline.bursty-onoff,burst50,original,0,raw,500,500,0,500,0,9000000,9000000,80,297272,8000000,6821000,1,18007000000
baseline.bursty-onoff,burst50,original,0,estimated-wire,500,500,0,500,0,8000000,8000000,78,297036,8000000,5820000,1,18007000000
baseline.bursty-onoff,burst800,common,0,raw,8000,8000,0,8000,0,17000000,19000000,636,4581695,8000000,16890000,1,18026000000
baseline.bursty-onoff,burst800,common,0,estimated-wire,8000,8000,0,8000,0,8000000,10000000,454,4550053,9000000,7848001,1,18019000000
baseline.bursty-onoff,burst800,original,0,raw,8000,8000,0,8000,0,16000000,18000000,1020,4601012,8000000,15887000,1,18025000000
baseline.bursty-onoff,burst800,original,0,estimated-wire,8000,8000,0,8000,0,7000000,8000000,759,4570685,8000000,5820000,1,18019000000
baseline.closed-loop-inflight,k1-i1,common,0,raw,4096,4096,0,4096,0,7000000,8000000,4096,2785932,8000000,5818001,1,28673000000
baseline.closed-loop-inflight,k1-i1,common,0,estimated-wire,4096,4096,0,4096,0,7000000,8000000,4096,2785932,8000000,5818001,1,28673000000
baseline.closed-loop-inflight,k1-i1,original,0,raw,4096,4096,0,4096,0,7000000,8000000,4096,2786049,8000000,5819000,1,28673000000
baseline.closed-loop-inflight,k1-i1,original,0,estimated-wire,4096,4096,0,4096,0,7000000,8000000,4096,2786049,8000000,5819000,1,28673000000
baseline.closed-loop-inflight,k1-i5,common,0,raw,4096,4096,0,4096,0,7000000,8000000,4096,2785932,8000000,5818001,1,28673000000
baseline.closed-loop-inflight,k1-i5,common,0,estimated-wire,4096,4096,0,4096,0,7000000,8000000,4096,2785932,8000000,5818001,1,28673000000
baseline.closed-loop-inflight,k1-i5,original,0,raw,4096,4096,0,4096,0,7000000,8000000,4096,2786049,8000000,5819000,1,28673000000
baseline.closed-loop-inflight,k1-i5,original,0,estimated-wire,4096,4096,0,4096,0,7000000,8000000,4096,2786049,8000000,5819000,1,28673000000
baseline.closed-loop-inflight,k16-i1,common,0,raw,4096,4096,0,4096,0,7000000,9000000,769,2424873,9000000,7222001,1,1793000000
baseline.closed-loop-inflight,k16-i1,common,0,estimated-wire,4096,4096,0,4096,0,7000000,9000000,769,2424873,9000000,7222001,1,1793000000
baseline.closed-loop-inflight,k16-i1,original,0,raw,4096,4096,0,4096,0,7000000,8000000,1408,2456940,8000000,5820000,1,1793000000
baseline.closed-loop-inflight,k16-i1,original,0,estimated-wire,4096,4096,0,4096,0,7000000,8000000,1408,2456940,8000000,5820000,1,1793000000
baseline.closed-loop-inflight,k16-i5,common,0,raw,4096,4096,0,4096,0,7000000,9000000,769,2424873,9000000,6821001,1,1793000000
baseline.closed-loop-inflight,k16-i5,common,0,estimated-wire,4096,4096,0,4096,0,7000000,9000000,769,2424873,9000000,6821001,1,1793000000
baseline.closed-loop-inflight,k16-i5,original,0,raw,4096,4096,0,4096,0,7000000,8000000,1408,2456940,8000000,5820000,1,1793000000
baseline.closed-loop-inflight,k16-i5,original,0,estimated-wire,4096,4096,0,4096,0,7000000,8000000,1408,2456940,8000000,5820000,1,1793000000
baseline.closed-loop-inflight,k256-i1,common,0,raw,4096,4096,0,4096,0,20000000,20000000,335,2341767,9000000,18450000,1,177000000
baseline.closed-loop-inflight,k256-i1,common,0,estimated-wire,4096,4096,0,4096,0,8000000,9000000,145,2314902,9000000,7222001,1,76000000
baseline.closed-loop-inflight,k256-i1,original,0,raw,4096,4096,0,4096,0,20000000,21000000,513,2350785,8000000,19258000,1,175000000
baseline.closed-loop-inflight,k256-i1,original,0,estimated-wire,4096,4096,0,4096,0,8000000,8000000,255,2321505,8000000,5820000,1,70000000
baseline.closed-loop-inflight,k256-i5,common,0,raw,4096,4096,0,4096,0,14000000,14000000,385,2344334,9000000,12109000,1,138000000
baseline.closed-loop-inflight,k256-i5,common,0,estimated-wire,4096,4096,0,4096,0,8000000,9000000,299,2331180,9000000,7481075,1,107000000
baseline.closed-loop-inflight,k256-i5,original,0,raw,4096,4096,0,4096,0,13000000,14000000,514,2350900,8000000,12163000,1,127000000
baseline.closed-loop-inflight,k256-i5,original,0,estimated-wire,4096,4096,0,4096,0,8000000,8000000,406,2338322,8000000,5820000,1,88000000
baseline.closed-loop-inflight,k4-i1,common,0,raw,4096,4096,0,4096,0,7000000,8000000,2447,2637366,8000000,6606001,1,7169000000
baseline.closed-loop-inflight,k4-i1,common,0,estimated-wire,4096,4096,0,4096,0,7000000,8000000,2447,2637366,8000000,6606001,1,7169000000
baseline.closed-loop-inflight,k4-i1,original,0,raw,4096,4096,0,4096,0,7000000,8000000,3264,2678333,8000000,5819000,1,7169000000
baseline.closed-loop-inflight,k4-i1,original,0,estimated-wire,4096,4096,0,4096,0,7000000,8000000,3264,2678333,8000000,5819000,1,7169000000
baseline.closed-loop-inflight,k4-i5,common,0,raw,4096,4096,0,4096,0,7000000,8000000,2447,2637366,8000000,6205001,1,7169000000
baseline.closed-loop-inflight,k4-i5,common,0,estimated-wire,4096,4096,0,4096,0,7000000,8000000,2447,2637366,8000000,6205001,1,7169000000
baseline.closed-loop-inflight,k4-i5,original,0,raw,4096,4096,0,4096,0,7000000,8000000,3264,2678333,8000000,5819000,1,7169000000
baseline.closed-loop-inflight,k4-i5,original,0,estimated-wire,4096,4096,0,4096,0,7000000,8000000,3264,2678333,8000000,5819000,1,7169000000
baseline.closed-loop-inflight,k64-i1,common,0,raw,4096,4096,0,4096,0,8000000,12000000,444,2348038,10000000,10030000,1,248000000
baseline.closed-loop-inflight,k64-i1,common,0,estimated-wire,4096,4096,0,4096,0,8000000,9000000,414,2341751,9000000,7222001,1,236000000
baseline.closed-loop-inflight,k64-i1,original,0,raw,4096,4096,0,4096,0,8000000,9000000,520,2351596,8000000,7223000,1,205000000
baseline.closed-loop-inflight,k64-i1,original,0,estimated-wire,4096,4096,0,4096,0,8000000,8000000,503,2349590,8000000,5820000,1,203000000
baseline.closed-loop-inflight,k64-i5,common,0,raw,4096,4096,0,4096,0,8000000,10000000,507,2351189,9000000,7824000,1,249000000
baseline.closed-loop-inflight,k64-i5,common,0,estimated-wire,4096,4096,0,4096,0,8000000,9000000,508,2350899,9000000,6821001,1,246000000
baseline.closed-loop-inflight,k64-i5,original,0,raw,4096,4096,0,4096,0,8000000,9000000,520,2351596,8000000,6821000,1,202000000
baseline.closed-loop-inflight,k64-i5,original,0,estimated-wire,4096,4096,0,4096,0,8000000,8000000,516,2351124,8000000,5820000,1,202000000
baseline.compression,random0-zstd0,common,0,raw,4096,4096,0,4096,0,7000000,13000000,1576,8800135,8000000,10833000,1,555000000
baseline.compression,random0-zstd0,common,0,estimated-wire,4096,4096,0,4096,0,7000000,9000000,1478,8775040,9000000,6821001,1,514000000
baseline.compression,random0-zstd0,original,0,raw,4096,4096,0,4096,0,7000000,13000000,2052,8823803,8000000,10833000,1,491000000
baseline.compression,random0-zstd0,original,0,estimated-wire,4096,4096,0,4096,0,6000000,8000000,1881,8803626,8000000,5820000,1,412000000
baseline.compression,random0-zstd1,common,0,raw,4096,4096,0,4096,0,7000000,13000000,1630,380180,9000000,10833000,1,556000000
baseline.compression,random0-zstd1,common,0,estimated-wire,4096,4096,0,4096,0,7000000,9000000,882,189604,9000000,6821000,1,468000000
baseline.compression,random0-zstd1,original,0,raw,4096,4096,0,4096,0,9000000,13000000,2298,419351,8000000,10833000,1,532000000
baseline.compression,random0-zstd1,original,0,estimated-wire,4096,4096,0,4096,0,7000000,9000000,763,169584,8000000,6821000,1,472000000
baseline.compression,random0-zstd3,common,0,raw,4096,4096,0,4096,0,7000000,13000000,1630,371943,9000000,10833000,1,556000000
baseline.compression,random0-zstd3,common,0,estimated-wire,4096,4096,0,4096,0,7000000,9000000,882,187404,9000000,6821000,1,468000000
baseline.compression,random0-zstd3,original,0,raw,4096,4096,0,4096,0,9000000,13000000,2298,410517,8000000,10833000,1,532000000
baseline.compression,random0-zstd3,original,0,estimated-wire,4096,4096,0,4096,0,7000000,9000000,763,167794,8000000,6821000,1,472000000
baseline.compression,random1-zstd0,common,0,raw,4096,4096,0,4096,0,7000000,13000000,1576,8800135,8000000,10833000,1,555000000
baseline.compression,random1-zstd0,common,0,estimated-wire,4096,4096,0,4096,0,7000000,9000000,1478,8775040,9000000,6821001,1,514000000
baseline.compression,random1-zstd0,original,0,raw,4096,4096,0,4096,0,7000000,13000000,2052,8823803,8000000,10833000,1,491000000
baseline.compression,random1-zstd0,original,0,estimated-wire,4096,4096,0,4096,0,6000000,8000000,1881,8803626,8000000,5820000,1,412000000
baseline.compression,random1-zstd1,common,0,raw,4096,4096,0,4096,0,7000000,13000000,1630,8836191,9000000,10833000,1,556000000
baseline.compression,random1-zstd1,common,0,estimated-wire,4096,4096,0,4096,0,6000000,9000000,1632,8808495,9000000,6821000,1,557000000
baseline.compression,random1-zstd1,original,0,raw,4096,4096,0,4096,0,9000000,13000000,2298,8873558,8000000,10833000,1,532000000
baseline.compression,random1-zstd1,original,0,estimated-wire,4096,4096,0,4096,0,6000000,9000000,2047,8841637,8000000,6821000,1,427000000
baseline.compression,random1-zstd3,common,0,raw,4096,4096,0,4096,0,7000000,13000000,1630,8836191,9000000,10833000,1,556000000
baseline.compression,random1-zstd3,common,0,estimated-wire,4096,4096,0,4096,0,6000000,9000000,1632,8808495,9000000,6821000,1,557000000
baseline.compression,random1-zstd3,original,0,raw,4096,4096,0,4096,0,9000000,13000000,2298,8873558,8000000,10833000,1,532000000
baseline.compression,random1-zstd3,original,0,estimated-wire,4096,4096,0,4096,0,6000000,9000000,2047,8841637,8000000,6821000,1,427000000
baseline.linger-sweep,linger0-skip0,common,0,raw,4096,4096,0,4096,0,8000000,10000000,1785,2550409,9000000,7798012,1,605000000
baseline.linger-sweep,linger0-skip0,common,0,estimated-wire,4096,4096,0,4096,0,8000000,10000000,1599,2540701,9000000,8226012,1,544000000
baseline.linger-sweep,linger0-skip0,original,0,raw,4096,4096,0,4096,0,8000000,9000000,2752,2614947,8000000,7455000,1,507000000
baseline.linger-sweep,linger0-skip0,original,0,estimated-wire,4096,4096,0,4096,0,8000000,9000000,2741,2613649,8000000,7239000,1,506000000
baseline.linger-sweep,linger0-skip1,common,0,raw,4096,4096,0,4096,0,8000000,10000000,1785,2550409,9000000,7798012,1,605000000
baseline.linger-sweep,linger0-skip1,common,0,estimated-wire,4096,4096,0,4096,0,8000000,10000000,1599,2540701,9000000,8226012,1,544000000
baseline.linger-sweep,linger0-skip1,original,0,raw,4096,4096,0,4096,0,8000000,9000000,2752,2614947,8000000,7455000,1,507000000
baseline.linger-sweep,linger0-skip1,original,0,estimated-wire,4096,4096,0,4096,0,8000000,9000000,2741,2613649,8000000,7239000,1,506000000
baseline.linger-sweep,linger1-skip0,common,0,raw,4096,4096,0,4096,0,3000000,9000000,767,2423871,9000000,6821001,1,390000000
baseline.linger-sweep,linger1-skip0,common,0,estimated-wire,4096,4096,0,4096,0,5000000,9000000,1222,2484202,9000000,6821001,1,441000000
baseline.linger-sweep,linger1-skip0,original,0,raw,4096,4096,0,4096,0,4000000,9000000,1803,2502920,8000000,6821000,1,391000000
baseline.linger-sweep,linger1-skip0,original,0,estimated-wire,4096,4096,0,4096,0,3000000,8000000,1459,2462328,8000000,5820000,1,390000000
baseline.linger-sweep,linger1-skip1,common,0,raw,4096,4096,0,4096,0,3000000,9000000,767,2423871,9000000,6821001,1,390000000
baseline.linger-sweep,linger1-skip1,common,0,estimated-wire,4096,4096,0,4096,0,5000000,9000000,1222,2484202,9000000,6821001,1,441000000
