scenario,variant,profile,size,seed,adapter,offered,accepted,refused,acked,failed,duration_ns,ack_p50_ns,ack_p99_ns,ack_max_ns,failed_max_ns,first_observation_wait_p99_ns,first_observation_wait_max_ns,broker_attempts_max,broker_record_observations,attempted_records,produce_requests,wire_bytes,request_records_p50,global_pending_gap_ns,partition_pending_gap_ns,gap_partition,gap_end_kind,deadline_overshoot_count,sender_errors,max_source_lag_ns,fault_exposure_comparable,last_offer_ns,last_terminal_ns,source_offer_gap_max_ns
baseline.closed-loop-inflight,k1-i1,original,full,0,classic,4096,4096,0,4096,0,26276767000,6404000,6808000,10212000,,5606000,9010000,1,4096,4096,4096,2831494,1,10212000,10212000,5,ack,0,0,0,True,26268959000,26276767000,20212000
baseline.closed-loop-inflight,k1-i1,original,full,0,native,4096,4096,0,4096,0,28673000000,7000000,7000000,8000000,,5203000,5819000,1,4096,4096,4096,2786049,1,8000000,8000000,5,ack,0,0,0,True,28666000000,28673000000,8000000
baseline.closed-loop-inflight,k1-i1,common,full,0,classic,4096,4096,0,4096,0,26276767000,6404000,6808000,10212000,,5606000,9010000,1,4096,4096,4096,2831494,1,10212000,10212000,5,ack,0,0,0,True,26268959000,26276767000,20212000
baseline.closed-loop-inflight,k1-i1,common,full,0,native,4096,4096,0,4096,0,28673000000,7000000,7000000,8000000,,5202001,5818001,1,4096,4096,4096,2785932,1,8000000,8000000,5,ack,0,0,0,True,28666000000,28673000000,8000000
baseline.closed-loop-inflight,k1-i5,original,full,0,classic,4096,4096,0,4096,0,26283503000,6404000,6808000,10212000,,5606000,9010000,1,4096,4096,4096,2831494,1,10212000,10212000,5,ack,0,0,0,True,26277099000,26283503000,20212000
baseline.closed-loop-inflight,k1-i5,original,full,0,native,4096,4096,0,4096,0,28673000000,7000000,7000000,8000000,,5203000,5819000,1,4096,4096,4096,2786049,1,8000000,8000000,5,ack,0,0,0,True,28666000000,28673000000,8000000
baseline.closed-loop-inflight,k1-i5,common,full,0,classic,4096,4096,0,4096,0,26283503000,6404000,6808000,10212000,,5606000,9010000,1,4096,4096,4096,2831494,1,10212000,10212000,5,ack,0,0,0,True,26277099000,26283503000,20212000
baseline.closed-loop-inflight,k1-i5,common,full,0,native,4096,4096,0,4096,0,28673000000,7000000,7000000,8000000,,5202001,5818001,1,4096,4096,4096,2785932,1,8000000,8000000,5,ack,0,0,0,True,28666000000,28673000000,8000000
baseline.closed-loop-inflight,k4-i1,original,full,0,classic,4096,4096,0,4096,0,6570745000,6404000,6808000,11617000,,5606000,10415000,1,4096,4096,2353,2655623,2,9212000,11617000,5,ack,0,0,0,True,6564341000,6570745000,10000000
baseline.closed-loop-inflight,k4-i1,original,full,0,native,4096,4096,0,4096,0,7169000000,7000000,7000000,8000000,,5203000,5819000,1,4096,4096,3264,2678333,1,8000000,8000000,0,ack,0,0,0,True,7162000000,7169000000,8000000
baseline.closed-loop-inflight,k4-i1,common,full,0,classic,4096,4096,0,4096,0,6570745000,6404000,6808000,11617000,,5606000,10415000,1,4096,4096,2353,2655623,2,9212000,11617000,5,ack,0,0,0,True,6564341000,6570745000,10000000
baseline.closed-loop-inflight,k4-i1,common,full,0,native,4096,4096,0,4096,0,7169000000,7000000,7000000,8000000,,5202001,6606001,1,4096,4096,2447,2637366,1,8000000,8000000,0,ack,0,0,0,True,7162000000,7169000000,8000000
baseline.closed-loop-inflight,k4-i5,original,full,0,classic,4096,4096,0,4096,0,6571127000,6404000,6808000,11216000,,5606000,10014000,1,4096,4096,2369,2650055,2,9212000,11216000,5,ack,0,0,0,True,6564723000,6571127000,10000000
baseline.closed-loop-inflight,k4-i5,original,full,0,native,4096,4096,0,4096,0,7169000000,7000000,7000000,8000000,,5203000,5819000,1,4096,4096,3264,2678333,1,8000000,8000000,0,ack,0,0,0,True,7162000000,7169000000,8000000
baseline.closed-loop-inflight,k4-i5,common,full,0,classic,4096,4096,0,4096,0,6571127000,6404000,6808000,11216000,,5606000,10014000,1,4096,4096,2369,2650055,2,9212000,11216000,5,ack,0,0,0,True,6564723000,6571127000,10000000
baseline.closed-loop-inflight,k4-i5,common,full,0,native,4096,4096,0,4096,0,7169000000,7000000,7000000,8000000,,5202001,6205001,1,4096,4096,2447,2637366,1,8000000,8000000,0,ack,0,0,0,True,7162000000,7169000000,8000000
