chunk_bytes,records,value_bytes,random,compact,wire_bytes,retained_output_bytes,retained_reservation_bytes
32768,1,2048,false,false,87,32829,32829
32768,1,2048,false,true,87,87,87
32768,1,2048,true,false,2127,32829,32829
32768,1,2048,true,true,2127,2127,2127
32768,16,2048,false,false,173,32829,32829
32768,16,2048,false,true,173,173,173
32768,16,2048,true,false,32982,65597,65597
32768,16,2048,true,true,32982,32982,32982
524288,1,2048,false,false,87,524349,524349
524288,1,2048,false,true,87,87,87
524288,1,2048,true,false,2127,524349,524349
524288,1,2048,true,true,2127,2127,2127
524288,16,2048,false,false,173,524349,524349
524288,16,2048,false,true,173,173,173
524288,16,2048,true,false,32982,524349,524349
524288,16,2048,true,true,32982,524349,524349
