scenario,variant,profile,seed,mode,offered,accepted,refused,acked,failed,ack_p99_ns,ack_max_ns,produce_requests,wire_bytes,partition_pending_gap_ns,first_observation_wait_max_ns,broker_attempts_max,last_terminal_ns
baseline.closed-loop-inflight,k64-i5,common,1,sealed,4096,4096,0,4096,0,8000000,9000000,508,2350899,9000000,6821001,1,246000000
baseline.closed-loop-inflight,k64-i5,common,1,broker-ready,4096,4096,0,4096,0,8000000,9000000,460,2354052,9000000,6821001,1,213000000
baseline.closed-loop-inflight,k64-i5,common,7,sealed,4096,4096,0,4096,0,8000000,9000000,508,2350899,9000000,6821001,1,246000000
baseline.closed-loop-inflight,k64-i5,common,7,broker-ready,4096,4096,0,4096,0,8000000,9000000,460,2354052,9000000,6821001,1,213000000
baseline.closed-loop-inflight,k64-i5,original,1,sealed,4096,4096,0,4096,0,8000000,8000000,516,2351124,8000000,5820000,1,202000000
baseline.closed-loop-inflight,k64-i5,original,1,broker-ready,4096,4096,0,4096,0,8000000,8000000,516,2351124,8000000,5820000,1,202000000
baseline.closed-loop-inflight,k64-i5,original,7,sealed,4096,4096,0,4096,0,8000000,8000000,516,2351124,8000000,5820000,1,202000000
baseline.closed-loop-inflight,k64-i5,original,7,broker-ready,4096,4096,0,4096,0,8000000,8000000,516,2351124,8000000,5820000,1,202000000
baseline.compression,random0-zstd1,common,1,sealed,4096,4096,0,4096,0,7000000,9000000,882,189604,9000000,6821000,1,468000000
baseline.compression,random0-zstd1,common,1,broker-ready,4096,4096,0,4096,0,7000000,9000000,767,195690,9000000,6821000,1,437000000
baseline.compression,random0-zstd1,common,7,sealed,4096,4096,0,4096,0,7000000,9000000,882,189604,9000000,6821000,1,468000000
baseline.compression,random0-zstd1,common,7,broker-ready,4096,4096,0,4096,0,7000000,9000000,767,195690,9000000,6821000,1,437000000
baseline.compression,random0-zstd1,original,1,sealed,4096,4096,0,4096,0,7000000,9000000,763,169584,8000000,6821000,1,472000000
