scenario,variant,profile,seed,mode,offered,accepted,refused,acked,failed,ack_p99_ns,ack_max_ns,produce_requests,wire_bytes,partition_pending_gap_ns,first_observation_wait_max_ns,broker_attempts_max,last_terminal_ns
baseline.asymmetric-wan-broker,i1-window1024k,common,0,broker-ready,4096,4096,0,4096,0,82000000,87000000,966,2436501,87000000,65218001,1,3080000000
baseline.asymmetric-wan-broker,i1-window1024k,common,0,sealed,4096,4096,0,4096,0,82000000,87000000,884,2431994,87000000,65218001,1,3080000000
baseline.asymmetric-wan-broker,i1-window1024k,original,0,broker-ready,4096,4096,0,4096,0,82000000,87000000,1419,2458861,87000000,65219000,1,3080000000
baseline.asymmetric-wan-broker,i1-window1024k,original,0,sealed,4096,4096,0,4096,0,82000000,87000000,1419,2458861,87000000,65219000,1,3080000000
baseline.asymmetric-wan-broker,i1-window64k,common,0,broker-ready,4096,4096,0,4096,0,82000000,87000000,966,2436501,87000000,65218001,1,3080000000
baseline.asymmetric-wan-broker,i1-window64k,common,0,sealed,4096,4096,0,4096,0,82000000,87000000,884,2431994,87000000,65218001,1,3080000000
baseline.asymmetric-wan-broker,i1-window64k,original,0,broker-ready,4096,4096,0,4096,0,82000000,87000000,1419,2458861,87000000,65219000,1,3080000000
baseline.asymmetric-wan-broker,i1-window64k,original,0,sealed,4096,4096,0,4096,0,82000000,87000000,1419,2458861,87000000,65219000,1,3080000000
baseline.asymmetric-wan-broker,i5-window1024k,common,0,broker-ready,4096,4096,0,4096,0,53000000,87000000,1024,2451936,87000000,65218001,1,2301000000
baseline.asymmetric-wan-broker,i5-window1024k,common,0,sealed,4096,4096,0,4096,0,57000000,87000000,986,2448948,87000000,65218001,1,2306000000
baseline.asymmetric-wan-broker,i5-window1024k,original,0,broker-ready,4096,4096,0,4096,0,54000000,87000000,1649,2485615,87000000,65219000,1,2299000000
baseline.asymmetric-wan-broker,i5-window1024k,original,0,sealed,4096,4096,0,4096,0,54000000,87000000,1649,2485615,87000000,65219000,1,2299000000
baseline.asymmetric-wan-broker,i5-window64k,common,0,broker-ready,4096,4096,0,4096,0,53000000,87000000,1024,2451936,87000000,65218001,1,2301000000
