family,shape,rate,policy,seed,accepted,acked,not_written,offered,refused,unknown,healthy_outage_refused,missing_healthy_ack_windows,steady_acked,ack_p99_ns,descriptor_capacity,descriptor_observed_peak,pressure_decisions,active_partitions,configured_partitions,source_sha256,analysis_sha256,analysis_path
independent,independent,1000,Shared,0,28512,28512,0,30000,1488,0,984,56,,2168368604,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,461c90602c8048cfcb4eb3af49afbefee13b7aa8d7219897f52f3a3a1fba6021,target/experiments/admission-trial/independent/seed-0/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,1,28875,28875,0,30000,1125,0,624,28,,2154212259,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,a4eaf4ac72d9295b3171d9844c02a6ce7ca3208b0adf29f43b18135eb5b19474,target/experiments/admission-trial/independent/seed-1/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,2,28508,28508,0,30000,1492,0,987,56,,2164631834,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,2c60d0c30da8ad49dbdf4ccc57dade3889ad5b96b564810a0d840d6b442068b4,target/experiments/admission-trial/independent/seed-2/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,3,28500,28500,0,30000,1500,0,984,56,,2176286931,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,44e36c41f70aa4a74a7179ecb8d61fc95468a680f5026e8825b12768937b4920,target/experiments/admission-trial/independent/seed-3/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,4,28875,28875,0,30000,1125,0,624,28,,2156406602,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,7066b0116991e08080fc44ac943568ff7e0f8f83ce7fa4a19569e07bdd5378bf,target/experiments/admission-trial/independent/seed-4/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,5,28508,28508,0,30000,1492,0,987,56,,2164128764,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,bb630be6cda86e76ff3f39864e1f80e2f931cce85c649e0d31cab00ff2fac0fb,target/experiments/admission-trial/independent/seed-5/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,6,28512,28512,0,30000,1488,0,984,56,,2167780250,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,a27c854a592c8636ef7d31fb7607f612ffd4440e7ce4a9ca4b2a07c1d92af788,target/experiments/admission-trial/independent/seed-6/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,7,28875,28875,0,30000,1125,0,624,28,,2152027007,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,98dfff73f97044b533030afb8b8b959938863f8628e4670cffb3915e65bb1282,target/experiments/admission-trial/independent/seed-7/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,8,28512,28512,0,30000,1488,0,987,56,,2161156151,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,819887bcf7a8f20ca9b26dc92e1bbd59c959c15e90ff2003dc044724bf0cab8b,target/experiments/admission-trial/independent/seed-8/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,9,28506,28506,0,30000,1494,0,984,56,,2171927320,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,c8001c56c2751e601704ca001b39153d89ce397f8e8f3d035bc0e8c78e079663,target/experiments/admission-trial/independent/seed-9/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,10,28875,28875,0,30000,1125,0,624,28,,2156622262,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,e1ffc0c0350a05ff8efcb189bea367af935a30a6196af8e138ac96cbfbbcca1e,target/experiments/admission-trial/independent/seed-10/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,11,28512,28512,0,30000,1488,0,987,56,,2160795782,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,265b2a9cf34ffc841bdb52869b8e32125a688e02935abaeaa5c345ee67c96ac8,target/experiments/admission-trial/independent/seed-11/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,12,28512,28512,0,30000,1488,0,984,56,,2165516731,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,6a833b7eec44b8a80f6957413b0924b6b83436c44cb6709a08e010feb460c048,target/experiments/admission-trial/independent/seed-12/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,13,28875,28875,0,30000,1125,0,624,28,,2153812074,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,b068f55ef6d0d4b5d8566f00538f1417688be98edf153203d2e2ac319715c2e2,target/experiments/admission-trial/independent/seed-13/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
independent,independent,1000,Shared,14,28506,28506,0,30000,1494,0,987,56,,2165880919,512,512,0,6,6,7de7cabd997ba827881d33a5d82c279279d081ca26bef8f83c3493fd6d85a605,6941388a6dab83e29680d5299bb2b680b0e1877e97718ed0523aa74a9a7d5ae8,target/experiments/admission-trial/independent/seed-14/analysis/hard.partition-admission-isolation/independent-rate1000-shared.json
